kg,prompt,example,model,input_idx,input,output,structure_score,note
LPG,None,0,OpenAI,0,학생 A와 학생 B가 만났다.,학생 A과 학생 B가 만나서 대화를 하기 시작했다.,0,학생 A과 학생 B가 만나서 대화를 하기 시작했다.
LPG,None,0,OpenAI,1,미끄러운 빗길은 교통사고로 이어졌다.,"급하게 달리는 차량이 미끄러운 빗길에서 사고를 내고, 그 결과 교통사고가 발생하였다.",0,"급하게 달리는 차량이 미끄러운 빗길에서 사고를 내고, 그 결과 교통사고가 발생하였다."
LPG,None,0,OpenAI,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"
번개장터가 우정사업본부와 함께 중고 거래 플랫폼 최초로 '우체국소포'를 정식 출시한다는 것을 밝혔다.",0,번개장터가 우정사업본부와 함께 중고 거래 플랫폼 최초로 '우체국소포'를 정식 출시한다는 것을 밝혔다.
LPG,None,0,OpenAI,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.","기상청은 올해 장마철이 시작된 6월25일부터 현재까지 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록하고 있다고 밝혔으며, 전문가들의 관측에 따르면 올해 장마는 평년보다 많은 비를 기",0,"기상청은 올해 장마철이 시작된 6월25일부터 현재까지 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록하고 있다고 밝혔으며, 전문가들의 관측에 따르면 올해 장마는 평년보다 많은 비를 기"
LPG,None,0,OpenAI,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다.","구독자 간 ‘무료 계정 공유’를 금지한 뒤 온라인 동영상 서비스 플랫폼 넷플릭스가 신규 구독자를 큰 폭으로 늘리며, 올해 2분기 전세계 가입자 수가 2억 3,839만명으로 8.0% 증가하였으며, 매출액과 영업이익은 각각",0,"구독자 간 ‘무료 계정 공유’를 금지한 뒤 온라인 동영상 서비스 플랫폼 넷플릭스가 신규 구독자를 큰 폭으로 늘리며, 올해 2분기 전세계 가입자 수가 2억 3,839만명으로 8.0% 증가하였으며, 매출액과 영업이익은 각각"
LPG,None,0,KULLM,0,학생 A와 학생 B가 만났다.,                                                                                                    ,0,
LPG,None,0,KULLM,1,미끄러운 빗길은 교통사고로 이어졌다.," The rainy season is coming.
Sentence: 비가 많이 오고 있습니다.
Output:  The rainy season is coming.[머니투데이 송선옥 기자][""美, 北에 대한 적대정책 철회해야""] 북한이 미국에 대한 적대정책을 철회하지 않으면 6자회담에 복귀하지 않을 것이라고 밝혔다. 북한 외무성 대변인은 9",0,The rainy season is coming.
LPG,None,0,KULLM,2,번개장터는 우정사업본부와 중고 거래 플랫폼 최초 '우체국소포'를 정식 출시한다고 밝혔다.,"https://www.bloter.net/archives/335954중고거래 플랫폼 번개장터가 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다.번개장터는 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다고 밝혔다. 우체국소포는 우체국에서 발송하는 중고거래 전용 상품으로, 번개장터는 지난 3월 우정사업본부와",0,"https://www.bloter.net/archives/335954중고거래 플랫폼 번개장터가 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다.번개장터는 우정사업본부와 손잡고 중고거래 플랫폼 최초로 '우체국소포'를 정식 출시한다고 밝혔다. 우체국소포는 우체국에서 발송하는 중고거래 전용 상품으로, 번개장터는 지난 3월 우정사업본부와"
LPG,None,0,KULLM,3,"올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들 관측이다. 기상청은 장마철이 시작된 6월25일부터 현재까지 약 2주간 전국 대부분 지역에 200~300㎜, 전남 일부 지역은 600㎜ 안팎의 많은 누적 강수량을 기록했다고 밝혔다.",\n올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들의 관측이다.\nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nA,0,\n올해 장마는 평년보다 많은 비를 기록할 가능성이 높다는 게 전문가들의 관측이다.\nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nAnswer: \nA
LPG,None,0,KULLM,4,"온라인동영상서비스(OTT) 플랫폼 넷플릭스가 구독자 간 ‘무료 계정 공유’를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익은 18억2700만달러(약 2조3100억원)로 지난해 동기 대비 각각 2.7%, 15.8% 늘었다."," 넷플릭스가 구독자 간 무료 계정 공유를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익",0,"넷플릭스가 구독자 간 무료 계정 공유를 금지한 뒤 신규 구독자가 큰 폭으로 늘어났다. 19일(현지시간) 넷플릭스가 발표한 실적 보고서를 보면, 넷플릭스 가입자는 올해 2분기 전세계에서 589만명 증가해 총 2억3839만명이 됐다. 전체 가입자 수가 지난해 같은 기간보다 8.0% 늘었다. 2분기 매출액은 81억8700만달러(약 10조3700억원), 영업이익"
